Taxon	S27499.01	S27499.02	S27499.03	S27499.04	S27499.05	S27499.06	S27499.07	S27499.08	S27499.09	S27499.10	S27499.11	S27499.12	S27499.13	S27499.14	S27499.15	S27499.16	S27499.17	S27499.18	S27499.19	S27499.20	S27499.21	S27499.22	S27499.23	S27499.24	S27499.25	S27499.26	S27499.27	S27499.28	S27499.29	S27499.30	S27499.31	S27499.32	S27499.33	S27499.34	S27499.35	S27499.36	S27499.37	S27499.38	S27499.39	S27499.40	S27499.41	S28297.01	S28297.02	S28297.03	S28297.04	S28297.05	S28297.06	S28297.07	S28297.08	S28297.09	S28297.10	S28297.11	S29419.01	S29419.02	S29419.03	S29419.04	S29419.05	S29419.06	S29419.07	S29419.08	S29419.09	S29419.10	S29419.11	S30119.01	S30119.02	S30119.03	S30119.04	S30119.05	S30119.06	S30119.07
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.0	0.0	0.0	6.0	0.0	32.0	0.0	16.0	0.0	2.0	0.0	3.0	0.0	1.0	6.0	1.0	2.0	0.0	1.0	0.0	1.0	2.0	0.0	16.0	1.0	1.0	7.0	0.0	10.0	1.0	0.0	8.0	2.0	3.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	12.0	1.0	0.0	162.0	9.0	0.0	0.0	1.0	0.0	10.0	25.0	1.0	0.0	126.0	1.0	236.0	0.0	16.0	0.0	20.0	17.0	0.0	0.0	3.0	1.0	22.0	4.0	7.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	20.0	207.0	53.0	1182.0	38.0	196.0	1751.0	1023.0	2041.0	304.0	260.0	1611.0	88.0	53.0	355.0	42.0	55.0	88.0	13.0	273.0	64.0	376.0	22.0	26.0	658.0	184.0	288.0	941.0	57.0	83.0	51.0	858.0	1382.0	602.0	125.0	2223.0	41.0	98.0	86.0	154.0	166.0	1382.0	1343.0	94.0	210.0	22.0	22.0	4995.0	892.0	41.0	203.0	715.0	12.0	464.0	599.0	60.0	278.0	615.0	9.0	373.0	23.0	71.0	28.0	490.0	271.0	361.0	141.0	560.0	1149.0	105.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	3155.0	3207.0	2623.0	2076.0	2528.0	1412.0	2047.0	3291.0	2680.0	3529.0	2749.0	3278.0	4096.0	4971.0	4877.0	4346.0	5450.0	3297.0	2798.0	3348.0	4462.0	3808.0	775.0	3096.0	3739.0	3509.0	1938.0	2269.0	815.0	2855.0	5415.0	4211.0	2848.0	2927.0	3477.0	1187.0	3884.0	3737.0	3231.0	2238.0	1845.0	2287.0	1636.0	1828.0	842.0	6017.0	3239.0	2162.0	3266.0	2618.0	2519.0	4977.0	3572.0	4855.0	3684.0	4306.0	1885.0	3063.0	3563.0	4361.0	893.0	3370.0	2887.0	2597.0	2860.0	5274.0	4339.0	3274.0	1622.0	1715.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__unassigned	4.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	7.0	6.0	0.0	0.0	3.0	6.0	6.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	10.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales	43.0	86.0	583.0	31.0	24.0	5.0	35.0	29.0	39.0	128.0	30.0	78.0	32.0	45.0	24.0	350.0	392.0	66.0	31.0	27.0	50.0	41.0	4.0	295.0	295.0	287.0	196.0	52.0	21.0	39.0	74.0	65.0	7.0	11.0	6.0	46.0	54.0	60.0	51.0	86.0	13.0	51.0	38.0	84.0	47.0	219.0	27.0	22.0	39.0	19.0	29.0	88.0	100.0	326.0	14.0	27.0	41.0	65.0	30.0	49.0	8.0	26.0	150.0	24.0	48.0	67.0	40.0	29.0	11.0	352.0
k__Bacteria;p__Firmicutes;c__Incertae_sedis;o__Incertae_sedis	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	2.0	0.0	3.0	0.0	2.0	4.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales	40.0	95.0	19.0	212.0	134.0	1313.0	924.0	220.0	464.0	533.0	121.0	132.0	370.0	974.0	38.0	229.0	227.0	20.0	319.0	452.0	38.0	108.0	73.0	246.0	4.0	98.0	262.0	303.0	317.0	428.0	234.0	49.0	640.0	1000.0	230.0	209.0	249.0	1.0	224.0	149.0	559.0	33.0	106.0	182.0	345.0	346.0	150.0	78.0	285.0	285.0	1371.0	106.0	44.0	112.0	109.0	71.0	111.0	46.0	248.0	99.0	3536.0	282.0	11.0	685.0	96.0	413.0	128.0	38.0	319.0	2582.0
k__Bacteria;p__Firmicutes;c__unassigned;o__unassigned	7.0	0.0	0.0	1.0	1.0	0.0	14.0	19.0	0.0	2.0	0.0	0.0	0.0	1.0	5.0	0.0	6.0	10.0	0.0	2.0	3.0	11.0	5.0	0.0	5.0	0.0	4.0	1.0	0.0	1.0	0.0	29.0	1.0	9.0	6.0	2.0	2.0	38.0	1.0	4.0	1.0	6.0	10.0	9.0	0.0	11.0	5.0	17.0	1.0	0.0	2.0	2.0	7.0	21.0	0.0	0.0	5.0	2.0	1.0	7.0	3.0	0.0	0.0	5.0	1.0	4.0	0.0	5.0	0.0	1.0
k__Bacteria;p__Fusobacteria;c__Fusobacteria;o__Fusobacteriales	0.0	7.0	5.0	127.0	9.0	47.0	1.0	14.0	113.0	2.0	3.0	61.0	1.0	1.0	0.0	0.0	1.0	2.0	641.0	67.0	1.0	0.0	199.0	0.0	0.0	1.0	13.0	349.0	1420.0	64.0	2.0	0.0	467.0	113.0	5.0	1.0	10.0	0.0	231.0	0.0	137.0	18.0	0.0	126.0	0.0	0.0	0.0	1.0	3.0	3.0	118.0	8.0	4.0	19.0	37.0	0.0	7.0	2.0	0.0	0.0	192.0	2.0	78.0	6.0	7.0	12.0	0.0	18.0	1164.0	386.0
k__Bacteria;p__Lentisphaerae;c__Lentisphaeria;o__Victivallales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	152.0	160.0	64.0	119.0	61.0	909.0	169.0	10.0	7.0	10.0	62.0	163.0	214.0	68.0	216.0	784.0	330.0	70.0	56.0	21.0	119.0	237.0	51.0	492.0	235.0	140.0	45.0	362.0	3.0	22.0	398.0	409.0	4.0	3.0	72.0	168.0	34.0	65.0	51.0	179.0	11.0	626.0	191.0	168.0	19.0	123.0	36.0	11.0	108.0	17.0	617.0	99.0	68.0	233.0	62.0	579.0	46.0	48.0	733.0	644.0	7.0	136.0	32.0	303.0	382.0	43.0	147.0	90.0	452.0	20.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales	0.0	37.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	84.0	226.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	46.0	48.0	341.0	138.0	0.0	195.0	220.0	48.0	61.0	116.0	103.0	129.0	111.0	44.0	39.0	64.0	37.0	215.0	229.0	215.0	35.0	1.0	0.0	45.0	9.0	199.0	62.0	115.0	124.0	429.0	63.0	213.0	219.0	374.0	21.0	46.0	113.0	1.0	132.0	79.0	42.0	16.0	6.0	17.0	101.0	26.0	257.0	0.0	56.0	186.0	116.0	120.0	0.0	167.0	228.0	0.0	0.0	8.0	38.0	0.0	158.0	1.0	154.0	51.0	0.0	0.0	50.0	95.0	502.0	38.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__unassigned	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	207.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	39.0	0.0	1.0	0.0	87.0	10.0	70.0	0.0	6.0	30.0	12.0	162.0	85.0	28.0	39.0	38.0	1.0	47.0	11.0	62.0	17.0	0.0	14.0	36.0	23.0	1.0	65.0	63.0	3.0	31.0	11.0	35.0	21.0	1.0	0.0	19.0	36.0	0.0	34.0	20.0	54.0	21.0	8.0	38.0	71.0	9.0	3.0	0.0	43.0	20.0	4.0	32.0	0.0	77.0	7.0	3.0	0.0	4.0	14.0	0.0	51.0	0.0	30.0	50.0	37.0	6.0	119.0	36.0	130.0	5.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	5.0	1.0	0.0	0.0	7.0	1.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	130.0	2.0	0.0	0.0	0.0	0.0	6.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	2.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales	1.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	130.0	0.0	0.0	0.0	1.0	654.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	311.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	1319.0	3570.0	221.0	32.0	113.0	41.0	638.0	2125.0	342.0	1216.0	1716.0	422.0	105.0	95.0	844.0	41.0	94.0	31.0	35.0	209.0	1273.0	67.0	1815.0	1077.0	134.0	13.0	2434.0	2038.0	3665.0	5.0	3.0	13.0	72.0	568.0	32.0	1815.0	1305.0	70.0	274.0	1012.0	3475.0	2611.0	1295.0	635.0	3778.0	0.0	1054.0	0.0	261.0	12.0	16.0	3.0	1562.0	529.0	405.0	132.0	2659.0	3965.0	2534.0	184.0	476.0	1786.0	264.0	2962.0	1993.0	24.0	1081.0	2311.0	65.0	614.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	0.0	56.0	6.0	0.0	0.0	0.0	0.0	5.0	125.0	31.0	28.0	32.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	5.0	6.0	0.0	0.0	0.0	0.0	36.0	3.0	0.0	0.0	0.0	0.0	10.0	5.0	37.0	6.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	6.0	4.0	0.0	3.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	7.0	1.0	0.0	56.0	0.0	9.0	1.0	1.0	0.0	14.0	0.0	0.0	1.0	131.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	608.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__unassigned;o__unassigned	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales	0.0	0.0	0.0	0.0	20.0	0.0	0.0	7.0	9.0	1.0	0.0	0.0	3.0	0.0	2.0	6.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	52.0	20.0	64.0	0.0	0.0	0.0	0.0	28.0	22.0	2.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	39.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0
