kegglevel2	SRR5930525.R1	SRR5930517.R1	SRR5930496.R1	SRR5930514.R1	SRR5930497.R1	SRR5930498.R1	SRR5930501.R1	SRR5930505.R1	SRR5930509.R1	SRR5930512.R1	SRR5930516.R1	SRR5930526.R1	SRR5930533.R1	SRR5930522.R1	SRR5930521.R1	SRR5930520.R1	SRR5930532.R1	SRR5930534.R1	SRR5930494.R1	SRR5930511.R1	SRR5930500.R1	SRR5930503.R1	SRR5930530.R1	SRR5930495.R1	SRR5930502.R1	SRR5930508.R1	SRR5930515.R1	SRR5930519.R1	SRR5930535.R1	SRR5930493.R1	SRR5930506.R1	SRR5930513.R1	SRR5930504.R1	SRR5930510.R1	SRR5930528.R1	SRR5930529.R1	SRR5930536.R1	SRR5930527.R1	SRR5930518.R1	SRR5930523.R1	SRR5930524.R1	SRR5930499.R1	SRR5930507.R1	SRR5930531.R1
Genetic_Information_Processing;Translation	0.0563649583869	0.0543665198375	0.0551822932488	0.0599142943647	0.0561734328535	0.0571763688227	0.0568073302824	0.0565273492752	0.0569273121291	0.0519691111222	0.0615828922427	0.0558756731196	0.0528400895438	0.0544607769951	0.0553041665532	0.0573757657593	0.0565266701012	0.0555129241313	0.0562568360754	0.0558618993617	0.0545499375751	0.0578497576422	0.0560908499907	0.0560002847773	0.0538812401202	0.0557610730831	0.0537129431535	0.054393890345	0.0553609862978	0.0528807917102	0.0562293037603	0.0539921302681	0.0546825592488	0.0549363574267	0.0553865793142	0.05538410251	0.0546378970203	0.0568449255419	0.0538513459277	0.0548839719887	0.0549010456785	0.0543218647628	0.0559131480048	0.0596564262835
Human_Diseases;Cancers	0.000943842004294	0.0010381892078	0.000942089428818	0.000933112566241	0.000917118440018	0.00083005442713	0.00101329496907	0.00093126185982	0.0010475365004	0.000871171576932	0.000928995169315	0.000895549679537	0.000971738062741	0.000855306411555	0.000887826642007	0.000950673837186	0.000811721290614	0.000948799187072	0.000944363488069	0.000868246271521	0.00103535782751	0.000988863697777	0.000944767465994	0.000962835660967	0.000896158701627	0.000942012833787	0.000914253966088	0.00100430493209	0.000952409086999	0.000953566840382	0.000964774426176	0.000906400910405	0.000853493831263	0.000895136448892	0.000944009477614	0.000887211130965	0.000852268090901	0.000993869798435	0.00092950323113	0.000859461725119	0.000921820197312	0.00100685072862	0.000908943061428	0.000950654245578
Human_Diseases;Cardiovascular_Diseases	0.0	0.0	0.0	1.52295179736e-07	3.1502975456e-06	0.0	4.69285165583e-06	0.0	0.0	0.0	0.0	0.0	1.21149241085e-07	0.0	0.0	0.0	0.0	0.0	0.0	5.28644831662e-07	1.2334498779e-07	3.35815156592e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.47522301759e-06	0.0	0.0	0.0	0.0	0.0	8.63493506486e-08	0.0	0.0	0.0	9.98938228557e-08	0.0	0.0	1.35170516931e-07
Human_Diseases;Immune_System_Diseases	0.000467586417893	0.000464603366148	0.000454728984692	0.000329719064128	0.000461089004402	0.000429924258089	0.000431140704688	0.000461852224859	0.000360722723862	0.000509035169085	0.00049397761822	0.000472165452829	0.000408151793215	0.000468624244339	0.000508790673075	0.000447432041787	0.000468388688387	0.000475724732065	0.000475068621586	0.000476097535394	0.000456129764848	0.000372195131889	0.000430486312273	0.00038706281953	0.000445014766652	0.000525141816259	0.000489363780257	0.000506153680911	0.000540027828749	0.000358302063381	0.000454428444003	0.000527368802791	0.000466987519607	0.000472497739151	0.00044997077181	0.000470017368982	0.000506697989606	0.000391248059418	0.000526914530068	0.000480207616861	0.000467103515673	0.000446952815702	0.000470845061688	0.000509863189865
Human_Diseases;Infectious_Diseases	0.00341071425828	0.00373897310068	0.00359147601017	0.00355913835042	0.00343143773566	0.00344962188633	0.00348185526957	0.00345213046697	0.0034979895981	0.00389479422572	0.00378332085545	0.00343278703814	0.00403572351902	0.00376069996573	0.00355427986555	0.00343182284076	0.00357913684566	0.00347153166247	0.00342444453944	0.00331418017865	0.00353124365544	0.003396210617	0.00352104374058	0.00351627871767	0.00353012235492	0.00350429532633	0.00348073786558	0.00361009611543	0.00364496328988	0.00398243768347	0.00351391660389	0.00344041028292	0.0034148685682	0.0034902331926	0.00331712966609	0.00336033832876	0.00341580761296	0.00342138340303	0.0034780279633	0.00344286743787	0.00347011161836	0.00348289289104	0.00344251367805	0.00360283495829
Human_Diseases;Metabolic_Diseases	0.00102592476435	0.000952285374167	0.000983166677752	0.0010965252941	0.00095511293769	0.000989341631565	0.000976113144413	0.000982179910382	0.00109113615255	0.000855429759451	0.00105768973207	0.0009631479824	0.000961076929526	0.00101228210028	0.00102210075839	0.000980009733316	0.000988840107439	0.000948357474229	0.00102985558116	0.000958750266701	0.00101019545	0.00102479591953	0.000979857247684	0.00103069556856	0.000980666931521	0.00101586830858	0.000932232983988	0.000986299465175	0.00101907672507	0.00094313767313	0.00104049374849	0.000970103785634	0.000951929226559	0.000946006817641	0.00103187987612	0.000975948348819	0.000961845416874	0.00105443601963	0.00100977335143	0.00096652129271	0.000945195351861	0.00101298576952	0.000970619522662	0.000989988866005
Human_Diseases;Neurodegenerative_Diseases	0.000860113199588	0.000954733108911	0.00081789793321	0.000830922500638	0.000708244166389	0.000677437541139	0.00090403575616	0.000640207103266	0.000828870411244	0.000912577779313	0.000733559007729	0.000865790063602	0.000949446602382	0.000881596960889	0.000690042890412	0.000694998384737	0.000684378665608	0.00070409027197	0.000860188216313	0.000702674710244	0.000883766837516	0.000742151496068	0.000729136883246	0.000759436176991	0.000683309401717	0.000803877497754	0.000678937889936	0.000828001401926	0.000818774405296	0.000926390837255	0.000771256990255	0.000695574728099	0.000751217490416	0.000677597357087	0.000777648602294	0.000641049901399	0.000721794222071	0.000746375300171	0.000736566052507	0.000711423717209	0.00071184338167	0.000851966089517	0.000626945046103	0.000673014003801
Metabolism;Amino_Acid_Metabolism	0.0963830473203	0.0967551079853	0.099577297833	0.0978484346188	0.0987311842513	0.0984954340781	0.0981157358295	0.0983118918588	0.0996396111903	0.0941549437998	0.0975775642878	0.096441097641	0.0958726634249	0.0942631334727	0.0998895955162	0.0976819752741	0.0972131664535	0.0979966445284	0.0964014514207	0.0975411037216	0.0968100272568	0.0979628780971	0.0978161426058	0.0996273562843	0.0975892680863	0.0973867392163	0.0966868098566	0.098454768329	0.0973648917439	0.0936990481279	0.0977850354317	0.098150053336	0.0969506465294	0.0981459318167	0.096936446783	0.0984470181638	0.098767423464	0.0983051795673	0.0979813406018	0.0983414722577	0.0982168053576	0.096834278666	0.0978474575682	0.0960569002994
Metabolism;Biosynthesis_of_Other_Secondary_Metabolites	0.00907782652752	0.00937377503989	0.00983713734572	0.00892998015898	0.00978873818268	0.00930278185186	0.00950085867152	0.00941587171372	0.00953315457794	0.00859510695073	0.00926915106033	0.00917383624562	0.00862546251752	0.00862579490531	0.010423072884	0.00938450547132	0.00911730982021	0.00927530713674	0.00925786177792	0.00900694491288	0.00962707629702	0.00923525262143	0.00953733624722	0.00947866828761	0.0098492948949	0.00917334297089	0.00982632770448	0.010194720372	0.00927328881239	0.00818338647696	0.00988739085392	0.0101374025517	0.00932465458287	0.00963432194451	0.00881040116509	0.00967283988891	0.00971110702199	0.00956982780585	0.0103279168542	0.00958230621506	0.00931609791952	0.00961652574846	0.00961720126811	0.0096552300244
Metabolism;Carbohydrate_Metabolism	0.110368940059	0.111340459971	0.11105013507	0.10721215145	0.108487178432	0.112850848745	0.10722022903	0.110460617533	0.112144411207	0.106431024839	0.107921165302	0.109233539558	0.110787467644	0.113513188836	0.113179165081	0.106888915098	0.109725546742	0.109176507017	0.110075222913	0.114612842728	0.112151430148	0.110415016042	0.107933290451	0.112140344743	0.114354215038	0.110730498907	0.110080927323	0.111426206782	0.110131544831	0.109701502191	0.112922149286	0.110101016076	0.112014388361	0.109874029595	0.114530082736	0.111606860305	0.113357959592	0.110882886455	0.114085301344	0.112035869976	0.107098065466	0.11310209392	0.110625089662	0.104917868366
Metabolism;Energy_Metabolism	0.0569259304048	0.057912937805	0.0616335327787	0.0568513337098	0.0608623166276	0.0606928717686	0.0594982595537	0.060622331939	0.0568717869704	0.0568408679068	0.0588743206311	0.0598924031371	0.0550173837046	0.05734410184	0.0609836405602	0.05838594615	0.0609924563566	0.0605029541203	0.0569180829755	0.0603343403665	0.057844235509	0.0578288251641	0.0585655097997	0.0592259284326	0.061364768909	0.0571811081298	0.0606015829564	0.0608205916521	0.0569737842488	0.0546506414489	0.0598569681128	0.0609439340378	0.0608833638822	0.0605547519903	0.058036230213	0.0601089970037	0.0625111444631	0.0580114942039	0.0608421718164	0.0613615507436	0.0596735729593	0.0578613810641	0.0598981091287	0.0610681471623
Metabolism;Enzyme_Families	0.0217243876001	0.0214275865067	0.0211527677284	0.0217172926303	0.0218772890372	0.0213057975473	0.0216276686683	0.0218119136335	0.0214491207801	0.0216922244897	0.0229782645359	0.0220708970182	0.0214270605245	0.0212922745317	0.0220770909447	0.0219885659171	0.0215028751467	0.0216830209006	0.0217443668915	0.0215189107886	0.0214332884933	0.0214769464014	0.0217754787514	0.0214647286189	0.0216762681017	0.0219829540806	0.0217425698991	0.0216793323873	0.0220054104581	0.0214661343379	0.0217899507746	0.0219106039351	0.0217073270949	0.0216898914004	0.0216253209747	0.0216892441956	0.021648386653	0.0216687210129	0.0218670045853	0.0215459754355	0.0217462858727	0.0213694537722	0.0217622042404	0.022884774028
Metabolism;Glycan_Biosynthesis_and_Metabolism	0.0178635349972	0.0223376775963	0.0218166259781	0.0183584224412	0.0190133821776	0.017247397931	0.0202023653898	0.018320484634	0.0225025723318	0.0172307994404	0.021807892239	0.018274347252	0.0190757960535	0.0175191009476	0.0236894507285	0.0189703076608	0.0183154399943	0.0186806987058	0.0187780748842	0.0155361314998	0.0217314133288	0.0188139322097	0.0202585375265	0.0212883649547	0.0213190118815	0.0185217964192	0.0189052300043	0.0250808651777	0.0192851113399	0.0181366226927	0.0216729402319	0.0223668378606	0.0183119312274	0.0187232285835	0.0173804639592	0.0188157527082	0.0192908766816	0.0217342736097	0.0227810315722	0.0198360075384	0.018956451188	0.0211639801892	0.0182071967692	0.0224228963717
Metabolism;Lipid_Metabolism	0.0288278384339	0.0307761848464	0.0297865720201	0.0281636429982	0.0280164552451	0.028509830404	0.0286365027811	0.0284194517534	0.0313797286423	0.0279461277703	0.0264847424365	0.0280108549989	0.0285589951979	0.0282408475305	0.028428768057	0.0281229880017	0.0278499552102	0.0286077531426	0.0289624724151	0.027949346521	0.0299822062521	0.0293561774206	0.0288523239343	0.0299757849174	0.0287683659136	0.02931730521	0.0281066404959	0.0291799847729	0.0293529227073	0.0283756582033	0.0282647966582	0.0290263667717	0.0282576577735	0.0282110074578	0.0291780162244	0.0288515938477	0.028437172601	0.0292599306407	0.0288760924423	0.0286307678342	0.0285135929021	0.0298804652654	0.0283865276551	0.0269356992499
Metabolism;Metabolism_of_Cofactors_and_Vitamins	0.0410512562942	0.0412195034106	0.0436579175006	0.0418042653616	0.0441935195325	0.0429275013761	0.0434828804772	0.0431763341214	0.0411661809805	0.0420428134164	0.0433349011124	0.0437823265106	0.0407502433283	0.040127054357	0.0448508849663	0.0438800610234	0.0427956525509	0.0434069002393	0.0412360576476	0.0427784684229	0.0417124379359	0.0415985428309	0.043556270782	0.0421618201956	0.0436143259837	0.0423296159411	0.0434728471673	0.0446610602144	0.0424824553332	0.0404041984217	0.0429699840956	0.0446467667985	0.0429149739709	0.0438891944257	0.0410554748037	0.0434876786521	0.0445355410905	0.0426264578308	0.0438207793135	0.0443899633216	0.0442564598089	0.0414493420621	0.042875660339	0.045342274052
Metabolism;Metabolism_of_Other_Amino_Acids	0.0134426980033	0.0140751741301	0.0143087989867	0.0137056524051	0.0145673577051	0.0135696511539	0.0141574911389	0.0139143256093	0.0132284397573	0.0145552873147	0.0149131558615	0.0143666335595	0.0143972546613	0.0138551194992	0.0151500212948	0.0143620676846	0.0139971354945	0.0137695144593	0.0135688309605	0.0137550213329	0.0140549146687	0.0135390596683	0.01419420412	0.0136394809483	0.0141414771779	0.0137220438303	0.0142914795176	0.0149244064229	0.0139247537938	0.0139801984209	0.0142650477808	0.0147431204307	0.0139079745176	0.0143419042994	0.0132335651826	0.0141448091546	0.0142264009168	0.0140205937314	0.0149896711546	0.0144538557659	0.0143856095356	0.0139647611297	0.0139441401296	0.0147153383257
Metabolism;Metabolism_of_Terpenoids_and_Polyketides	0.0158023578822	0.0164991308793	0.0164975061407	0.0161041491908	0.0155183657096	0.0159980028177	0.0160103252363	0.0159678628693	0.0167084933935	0.0148387146351	0.0169116627053	0.0155009760336	0.0155389651093	0.0157275055565	0.0160007411836	0.0157992880917	0.0158363042215	0.0157645105154	0.0158913999209	0.0154902451284	0.0161695411394	0.0159203249437	0.0159203557152	0.0162382540628	0.0158644235396	0.0157116856711	0.0151173436143	0.0165288935853	0.0158313684012	0.015429852669	0.0160646474247	0.0157494741859	0.0155945962362	0.0154928084671	0.015655885715	0.0155173371749	0.0157207627791	0.0162086396863	0.0156861021469	0.0157393847182	0.0153749579572	0.0160451434413	0.0156326499067	0.0167734446165
Metabolism;Nucleotide_Metabolism	0.0394250739129	0.0383351394119	0.0384540634949	0.0407540378021	0.0390118528513	0.0394761896758	0.0395462999151	0.0391885722135	0.0392699300259	0.0369420169178	0.0438106220601	0.0399415975207	0.0376158701629	0.038842655476	0.0397594102785	0.0400770079199	0.0403341934823	0.0386051503497	0.039419958433	0.0387478687684	0.0388106237531	0.0396939112011	0.0392038095327	0.0394049776549	0.0389347988361	0.0391054784171	0.0380024591952	0.0397271871672	0.0389737215732	0.0371182084937	0.0400570966444	0.0387915625238	0.0387144087266	0.0385488170465	0.0390774616941	0.0383861743872	0.0389717070308	0.0399544902009	0.0388232936873	0.0387783594214	0.0385154619155	0.0386733869167	0.0387280667857	0.0424980160347
Metabolism;Xenobiotics_Biodegradation_and_Metabolism	0.016311314889	0.0179484229653	0.0165597938383	0.0169091815109	0.0148467795511	0.0160676409423	0.0158540171773	0.0158032057967	0.0180128576042	0.0158321650691	0.0164122978728	0.0158006175274	0.0183539888751	0.0175106572676	0.0153438802936	0.0152916339868	0.016729285585	0.0159753179698	0.0161754281543	0.0159639108975	0.0172183435706	0.0167117293294	0.015654027593	0.0174238648786	0.0160815446841	0.0158391076969	0.0152752244785	0.0168192317392	0.015676974934	0.0178594475169	0.0165331396359	0.0146845744549	0.0161019583463	0.0152563573297	0.0176519507494	0.0155836887788	0.0159979441947	0.0165978202241	0.0151144096834	0.0159127967935	0.0155158082474	0.0172778843643	0.0151534908241	0.0144171521654
Organismal_Systems;Circulatory_System	0.0	3.49676391983e-07	5.75849284119e-07	1.21836143789e-06	1.05964553807e-05	5.33625475494e-07	1.40785549675e-05	0.0	2.09888916291e-06	6.19227891457e-06	4.48934521254e-07	0.0	9.44964080462e-06	5.75705459875e-07	0.0	7.15509661706e-07	0.0	3.31284632357e-07	0.0	1.58593449498e-06	1.2334498779e-06	1.07460850109e-05	3.32079952898e-07	2.70358197576e-07	0.0	5.68848329582e-07	5.01740034439e-07	1.12534168187e-06	5.98811120402e-07	6.31766862384e-06	8.10072987576e-06	0.0	0.0	1.11247327283e-06	5.30938963788e-07	0.0	2.59048051946e-07	2.18914052519e-06	3.09524885491e-07	0.0	2.49734557139e-06	3.01723322931e-07	5.09021688311e-07	8.11023101588e-07
Organismal_Systems;Digestive_System	0.000227044425867	0.000218897421381	0.000218438828442	0.000377539750565	0.000192931858778	0.000197085675616	0.000223331607006	0.000190352266944	0.000374842523685	0.000126904414864	0.000621026087735	0.000247792266018	0.000344063844681	0.000167722190644	0.000370116076346	0.000239814988282	0.000159969775474	0.0001658631726	0.00024026924742	0.000136707553468	0.00032316386801	0.000295965091343	0.000277508147305	0.000322627449107	0.000261325449366	0.000260437726893	0.000185058449369	0.000340103263853	0.000289325573007	0.000329020170711	0.000372521064148	0.000283932815308	0.000174361063174	0.000184367161488	0.000262018378629	0.000207590333602	0.000168381233765	0.000366681037969	0.000324897954804	0.000172869314462	0.000155734469832	0.000315300872463	0.000245772638506	0.000580422199703
Organismal_Systems;Endocrine_System	0.00301851668552	0.0027087098911	0.00291005435729	0.00313712840738	0.00271975688104	0.00278374623049	0.00294289930632	0.00292594578862	0.00349283777924	0.00221429925523	0.00308013975032	0.00263704967872	0.00290891442769	0.0024143167969	0.00329572191248	0.0028942365816	0.00268070296647	0.00279593186889	0.00308176710941	0.00258147844197	0.00312260171089	0.00317860239553	0.00299126552239	0.00325538305701	0.00293707888667	0.00302997062752	0.00264935462852	0.00314082863409	0.00308717073123	0.00280093337036	0.00308052755553	0.00299949538222	0.00272948309805	0.0027373921887	0.00304829757076	0.00274779384943	0.00277518178049	0.0033639792737	0.00301343111018	0.00278544842015	0.00276895687574	0.00310091116421	0.00283652335811	0.00290886952436
Organismal_Systems;Environmental_Adaptation	0.00179429840858	0.00157599149867	0.0016363717157	0.00167631304335	0.00174106444354	0.00167460567968	0.00172420183016	0.00172053887735	0.00159868571377	0.00169660981682	0.00145664287663	0.00168474196879	0.00155167947981	0.00158683614924	0.00154968267185	0.00180594638615	0.00155071305714	0.00172963706554	0.00180201935565	0.00169261502201	0.00164542213712	0.00171769452597	0.00180230859769	0.00156366169538	0.00149802445761	0.00181510021164	0.00169061304604	0.00159010779648	0.00181579492076	0.00155324395738	0.00151078612183	0.00174697551641	0.0016484802361	0.00171775986718	0.00163122147641	0.00171467360889	0.001610760787	0.00168721925033	0.00162438659906	0.00165921976235	0.00175243733436	0.00163353007035	0.00176876552993	0.00175329677512
Organismal_Systems;Excretory_System	0.000172834688613	0.000333591277952	0.000247135317768	0.000247479667071	9.44134628061e-05	0.000116597166395	0.000194693178952	0.000142079309918	0.000381520807385	7.99027797289e-05	9.8466304995e-05	9.63352515843e-05	0.000227881722481	0.000151026732307	0.000181252217337	0.00013403880996	9.12856662684e-05	0.000163323323752	0.000186076984617	8.09883882105e-05	0.000282336677051	0.000228466244868	0.000200686984868	0.000282434197068	0.000159451242559	0.000174446821072	8.07801455447e-05	0.000248825549658	0.000192717378916	0.000217006903206	0.000174053182192	0.000137264528768	0.000121213095659	0.00010416795191	0.000170519897203	0.00014059453936	0.000103187474025	0.00026914266568	0.000165079938929	0.000136232960534	0.000115976728335	0.000265415949739	0.000123946781104	5.39330362556e-05
