genus	ERR2162200	ERR2162201	ERR2162202	ERR2162203	ERR2162204	ERR2162205	ERR2162206	ERR2162207	ERR2162208	ERR2162209	ERR2162210	ERR2162211	ERR2162212	ERR2162213	ERR2162214	ERR2162215	ERR2162216	ERR2162217	ERR2162218	ERR2162219	ERR2162220	ERR2162221	ERR2162222	ERR2162223	ERR2162224
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Peptoniphilus	0	0	0	0	0	0	0	0	0	0	0	0	0.01005	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname	0.00485	0.00455	1.84398	0.01267	0	0.0138	0	0.06221	0.04468	0.20245	0	0.00436	0.01771	0	0.00556	0.05545	0.19164	0.0825	0.22575	0.00656	0.02948	0.00132	0.01548	0.04833	0.50076
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Flavonifractor	0.32124	0	0.43572	0	0.00634	0.048	0.82539	0.03589	0.02226	0.0325	0.02176	0.2137	0	0.20241	0.37936	0.23394	1.20778	0.03671	0.02426	0.01169	0.09425	0	0	0	0.19407
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Pseudoflavonifractor	0	0.00096	0	0	0	0.00374	0	0	0.0279	0	0	0	0.00425	0.0028	0	0	0.00172	0	0	0.01928	0.03358	0.01088	0.00422	0	0.02407
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Anaerofustis	0	0	0.01091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00105	0	0.00039	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	1.17738	1.67946	5.66411	5.92196	1.31271	2.27118	1.36001	3.18743	2.0274	0	1.03769	0.01687	5.41861	1.30406	0.93247	1.52806	0.0716	2.3986	3.00043	7.62909	3.91135	1.84981	1.34458	0.11699	4.59445
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	0	0	0.01761	0	0	0	0.05758	0.00459	0.00384	0.00618	0	0.03679	0.21538	0.00499	0.05917	0.01208	0.00664	0	0.00521	0.003	0.02408	0.02759	0.00529	0.02274	0.00879
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	0.288	0.51974	4.59457	0.25821	0.55089	0.81887	2.1668	2.43917	1.32284	0.12485	0.19635	0.28062	0.73758	1.03626	0.7736	1.62184	0.17461	0.57551	1.48346	0.38904	0.26015	0.15375	0.49677	0.22899	0.31425
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio	0	0	0	0	0	0	0	0	0	0	0	0	3.48292	0	0	0	0	0	0	0	0	43.73811	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	0	0.20658	0	0.51779	0.09791	0.38576	0	0.57149	0	0	0.24695	0	0.51976	0.33314	0.29614	0	0	0.2919	0	0.36731	0	0.2827	0.18466	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	0.08977	0.43612	0.70728	0.15267	0.28967	0.11946	0.01483	0.04823	0.03049	0	0.02742	0.01911	0.7314	0.76371	0.05193	0.01561	0	0.04111	0.13159	0.55934	0.02366	0.5013	0.37072	0.33822	0.08312
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	0.23504	0.26383	1.1451	0.19094	0.26541	0.38208	0.46624	0.95063	0.39448	0.15174	0.10742	0.46753	0.46124	0.62435	0.07752	0.25965	0.08516	0.60242	0.58623	0.53291	0.14877	0.28472	0.31707	0.45691	1.44938
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	0.41931	0.16378	12.29534	0.86452	0.43616	3.05087	0.14237	3.25359	0.68862	3.69338	1.48662	3.84054	1.96529	1.11244	0.60453	0.02671	0.05019	0.00485	0.68824	1.067	3.14576	0.28525	3.32176	0.76325	0.64652
