#OTU_ID	S27499.01	S27499.02	S27499.03	S27499.04	S27499.05	S27499.06	S27499.07	S27499.08	S27499.09	S27499.10	S27499.11	S27499.12	S27499.13	S27499.14	S27499.15	S27499.16	S27499.17	S27499.18	S27499.19	S27499.20	S27499.21	S27499.22	S27499.23	S27499.24	S27499.25	S27499.26	S27499.27	S27499.28	S27499.29	S27499.30	S27499.31	S27499.32	S27499.33	S27499.34	S27499.35	S27499.36	S27499.37	S27499.38	S27499.39	S27499.40	S27499.41	S28297.01	S28297.02	S28297.03	S28297.04	S28297.05	S28297.06	S28297.07	S28297.08	S28297.09	S28297.10	S28297.11	S29419.01	S29419.02	S29419.03	S29419.04	S29419.05	S29419.06	S29419.07	S29419.08	S29419.09	S29419.10	S29419.11	S30119.01	S30119.02	S30119.03	S30119.04	S30119.05	S30119.06	S30119.07	taxonomy
Adlercreutzia_equolifaciens:Asaccharobacter_celatus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	24	6	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	10	0	0	1	0	0	0	1	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Coriobacteriales; f__Coriobacteriaceae; g__unassigned
Aeromonas_aquariorum:Aeromonas_caviae:Aeromonas_enteropelogenes:Aeromonas_hydrophila:Aeromonas_jandaei:Aeromonas_veronii	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas
Aeromonas_aquariorum:Aeromonas_caviae:Aeromonas_hydrophila:Aeromonas_jandaei	1	2	1	0	0	0	0	0	0	0	4	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	2	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas
Aeromonas_enteropelogenes	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas
Akkermansia_muciniphila	192	5	0	194	279	0	0	1	0	2	1186	0	2535	4	252	2	112	262	16	253	2	618	0	1	2327	34	1	1	2	1	5	1	7	5	309	2883	103	2947	25	2108	67	17	2200	1268	0	265	0	0	0	1	4	477	1558	1	14	113	281	4	5	0	0	0	135	10	0	24	489	3	3	1	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia
Alistipes_finegoldii	0	4	0	16	0	0	0	0	11	23	0	0	0	0	0	0	2	89	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	6	0	0	2	0	0	0	5	0	2	0	8	8	0	9	14	648	1	16	0	0	5	5	0	0	0	59	0	0	0	3	1	1	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
Alistipes_finegoldii:Alistipes_shahii	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
Alistipes_indistinctus	0	0	0	0	0	3	0	0	1	0	0	0	1	15	0	1	0	0	0	4	7	10	0	6	0	0	0	0	0	0	0	0	0	0	8	0	42	0	0	8	0	15	0	1	0	10	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
Alistipes_massiliensis	0	0	0	111	0	2	0	0	0	0	0	81	0	4	0	0	0	1	0	14	1	0	0	0	3	21	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	8	0	59	0	4	0	0	0	0	0	19	0	8	0	5	0	1	0	0	0	0	1	10	0	0	7	1	1	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
Alistipes_massiliensis:Alistipes_senegalensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
