genus	SRR5930493	SRR5930494	SRR5930495	SRR5930496	SRR5930497	SRR5930498	SRR5930499	SRR5930500	SRR5930501	SRR5930502	SRR5930503	SRR5930504	SRR5930505	SRR5930506	SRR5930507	SRR5930508	SRR5930509	SRR5930510	SRR5930511	SRR5930512	SRR5930513	SRR5930514	SRR5930515	SRR5930516	SRR5930517	SRR5930518	SRR5930519	SRR5930520	SRR5930521	SRR5930522	SRR5930523	SRR5930524	SRR5930525	SRR5930526	SRR5930527	SRR5930528	SRR5930529	SRR5930530	SRR5930531	SRR5930532	SRR5930533	SRR5930534	SRR5930535	SRR5930536
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	0.99817	0.06779	2.75023	4.77358	0.88542	2.14214	3.0272	2.70681	1.95338	7.9525	1.15837	0.97583	1.96862	4.71655	3.98052	3.85683	3.8684	5.48566	0.52708	0.1134	2.25367	2.45823	0.01695	2.14203	1.47034	4.11645	9.58965	2.65227	4.05335	0.55925	3.92097	3.4853	0.06666	0.4684	6.66418	6.19983	3.24365	1.02555	0.7773	2.37031	4.09436	3.83081	4.86384	1.18581
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	0.0001	0	0	0.00967	0	0	0.21718	1.08768	0.57534	0.00821	0	0	0.00391	0	0	0	0	0.05403	0.0001	0	0	0	0.00747	0	0	0	0	0.00837	0	0.0059	0	0	0	0.00206	0.00327	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	0.00436	0.00691	0	0.00361	0	0.02429	0	0	0.20756	0.00555	0.00656	0	0	1.23012	0	0.52761	0.00747	0	0.00027	0.18697	0	0.00893	0	0.08679	0	0	0	2.34754	0.00616	0.00796	0.001	0	0	0.4605	0.0063	2.93516	0.00237	1.56887	0.00057	0.0047	1.0319	0.39516	0.66064	0.00179
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	0.02603	0.0103	0.00316	0.01499	0.00448	0.00173	0.19311	0.17811	0	0.00759	0.03628	0	0.01461	0	0	0.02709	0.04644	0.03578	0.00085	0	0	0.00856	0	17.38123	0.36822	0	0.02242	0.03508	0	0	0	0	0	7.98646	0	0	0.03678	3.32798	26.88932	0.03101	0	0	0	0.03204
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	1.26009	10.27522	5.67091	12.04444	3.93884	13.30926	3.59875	3.92604	6.5744	1.97087	7.35125	4.91711	8.18694	8.17299	0.08346	5.60926	21.89049	3.38443	0.43538	0.17867	0.01467	3.26146	0.00757	1.59753	0.70553	5.41529	4.82079	1.73829	1.2648	5.42071	7.42885	3.21779	6.91308	0.24718	14.35976	7.49294	9.32139	5.72496	0.60578	4.9625	2.73906	6.14542	5.08482	3.54963
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname|g__Candidatus_Saccharibacteria_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00148	0.00167	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname|g__Candidatus_Saccharibacteria_noname_unclassified	0	0	0	0	0.00058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00419	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella	0	0	0	0	0.02571	0	0.00034	0	0.00023	0	0	0	0.01105	0.00591	0	0	0	0.02835	0.0002	0.00277	0	0	0	0	0	0.02298	0	0.00308	0.00608	0.05685	0.00357	0	0	0.00284	0	0.005	0	0	0.006	0.00335	0	0.00256	0	0.00258
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07377	0	0.10183	0	0	0	0	0.0008	0	0	0	0	0.00293	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00149	0	0	0	0	0	0	0	0	0.00096	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Facklamia	0	0	0	0	0	0	0	0.00863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03147	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella	0	0	0	0.00064	0.00896	0	0	0	0.00239	0	0	0	0.00265	0	0	0.00255	0	0.00216	0.00238	0.00906	0.00207	0	0	0	0	0.01787	0	0.00546	0.00347	0.02617	0	0	0	0.00684	0	0	0	0	0.00284	0.00431	0	0.00495	0.00166	0.00363
