species	SRR5930493	SRR5930494	SRR5930495	SRR5930496	SRR5930497	SRR5930498	SRR5930499	SRR5930500	SRR5930501	SRR5930502	SRR5930503	SRR5930504	SRR5930505	SRR5930506	SRR5930507	SRR5930508	SRR5930509	SRR5930510	SRR5930511	SRR5930512	SRR5930513	SRR5930514	SRR5930515	SRR5930516	SRR5930517	SRR5930518	SRR5930519	SRR5930520	SRR5930521	SRR5930522	SRR5930523	SRR5930524	SRR5930525	SRR5930526	SRR5930527	SRR5930528	SRR5930529	SRR5930530	SRR5930531	SRR5930532	SRR5930533	SRR5930534	SRR5930535	SRR5930536
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa	0	0	0	0	0	0.00714	0.01044	0.00795	0	0	0	0	0.00283	0	0	0.00175	0	0	0	0.00844	0	0	0	0	0.00141	0.00141	0.00098	0.00316	0.00203	0.02769	0	0	0	0.00901	0	0.00099	0	0	0	0.00369	0	0	0.00398	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	0	0	0	0	0.0115	0.03619	0.00213	0.00198	0.07948	0.00062	0.0082	0	0.01727	0.00954	0	0.00117	0	0.00314	0	0.04286	0	0	0	0	0.00663	0.02637	0.00567	0.00667	0.0034	0.00487	0	0.00155	0	0.00124	0	0.00321	0	0	0.00285	0.00055	0	0.00187	0.00308	0.00352
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00018	0	0	0	0	0	0	0	0	0.00809	0	0.00485	0	0.00104	0	0	0	0	0	0	0	0	0	0.00062	0.00222	0	0	0.00085	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_freudenreichii	0	0	0	0	0	0	0.01189	0.00709	0	0	0	0	0	0	0	0.06244	0.08823	0.00143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00044	0.05325	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens	0.00192	0	0	0.00022	0	0	0.01024	0.01034	0	0	0	0	0	0	0	0	0.03145	0	0.01482	0	0	0	0	0	0	0	0.06869	0	0.00102	0.01968	0	0	0	0	0	0	0	0	0	0.07392	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	1.34024	0.07262	0.00238	0.00725	0.00199	0.28848	0	0.00462	0	0	0.01953	0	0	0	0	0.41846	0.022	0.88972	0.48999	0.004	0.01412	7.40283	0.00774	12.02877	0.0071	0	0	0.01781	6.1733	0.01787	0.013	0.01056	0.07435	0	0.00334	0.00685	0.01659	0.10212	0.70733	0.01189	7.94163	0.00953	0.54816	0.01317
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	0	0.02539	0	0	0	0.02559	0.00591	0	0.01006	0	0.0316	0.08521	0	0	0	0	0	0	0.00138	0	0	0	0	0	0	0	0	0	0	0.11759	0	0	0.02546	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0	0	0	0.00407	0	0	0	0	0	0	0.01078	0	0	0	0	0.00649	0.01055	0	0	0	0	0	0	5.75919	0	0	0	0.00596	0.00487	0	0	0	0	0	0.00316	0.00466	0.00771	0.00714	4.78467	0.00691	0.43112	0	0	0.00778
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve	0	0.08106	0	0	0	0.00144	0.00086	0	0.00045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01384	0	0	0	0	0	0	0	0	0.0837	0	0	0	0	0.00418	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	0.00244	0	0	0	0.0058	0	0	0	0	0	0	0	0	0	0	0.00022	0	0.01961	0	0	0	0	0	0.08317	0	0	0	0.03114	1.76052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	0	0	0	0	0	0	0.00507	0.00363	0.04733	0.00961	0	0	0	0	0.00508	0.00576	0.0016	0.00246	0	0	0	0.04723	0	0.00105	0	0.10548	0.01885	0	0	0	0	0	0	0.07599	0.00449	0	0	0	0	0	0	0	0.01703	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.00274	0.79821	8.087	0.41931	1.0486	0.02456	0.00306	0	0.02675	0.00391	0.02646	0.00748	0.00108	0.0014	0.77414	1.16104	0.01754	0.93333	0	0	0.00069	0.00271	0.00061	5.46728	0	1.09114	0.00019	1.42744	0.91568	0.0609	0	0	0.90943	0.0184	0	0	0.01629	0.12643	0.01591	0.01957	0.1197	0.14256	1.31283	0.21176
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	0.00099	0.00202	0	0	0.649	0	0	0	0	0.00144	0.04059	0	0	0	0	0.04285	0	0.05231	0	0	0	0	0	0.00028	0.01088	0	0	0.9519	0	0	0	0	0	0	0	0	0	0	0.01093	0	0	0	0.04869	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum	0	0	0	0	0.0015	0.00093	0.00055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188
