family	SRR5930493	SRR5930494	SRR5930495	SRR5930496	SRR5930497	SRR5930498	SRR5930499	SRR5930500	SRR5930501	SRR5930502	SRR5930503	SRR5930504	SRR5930505	SRR5930506	SRR5930507	SRR5930508	SRR5930509	SRR5930510	SRR5930511	SRR5930512	SRR5930513	SRR5930514	SRR5930515	SRR5930516	SRR5930517	SRR5930518	SRR5930519	SRR5930520	SRR5930521	SRR5930522	SRR5930523	SRR5930524	SRR5930525	SRR5930526	SRR5930527	SRR5930528	SRR5930529	SRR5930530	SRR5930531	SRR5930532	SRR5930533	SRR5930534	SRR5930535	SRR5930536
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.03753	0.46823	1.03417	0.09512	0.30631	1.12177	0.43767	0.43362	0.20964	0.6823	0.03858	0.21705	2.41075	2.22271	0.45847	0.53292	1.19976	0.10393	0.81077	3.27803	0.39248	0.04092	0.02263	0.04806	0.74898	2.23284	1.54371	1.83278	0.76491	10.79144	0.08316	0.37075	0.32859	0.37353	0.15531	0.55304	0.095	0.11651	0.36173	14.98776	0.10437	0.80778	0.80854	0.16115
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	1.56982	1.13739	9.71178	1.98641	1.14039	3.41435	9.97764	9.33307	0.45409	5.8811	0.05862	4.56368	0.25913	1.84728	1.05543	3.63623	0.52167	1.54846	1.24538	1.93011	2.03556	3.68098	2.88145	0.3693	3.96114	1.15763	5.51258	0.2208	0.29561	5.82734	0.28843	0.54221	1.13592	0.82411	0.73525	6.49409	1.90477	0.3627	0.06117	6.28429	0.83576	0.7308	1.73276	1.49388
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis	0	0	0	0	0.00667	0.00092	0	0.00256	0.00659	0	0	0	0	0	0	0.00088	0.00147	0.13051	0.00281	0	0.00268	0.01063	0	0	0	0.01103	0.0014	0.00119	0.00145	0.01962	0.00488	0.0045	0	0	0	0	0	0	0.00214	0	0	0.00266	0.0054	0.00083
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	0.00062	0	0	0.00642	0	0	0.23329	0.8669	0.00159	0.02108	0	0	0.01541	0.00657	0	0	0	0.79331	0.00218	0.00655	0	0	0.36398	0.00089	0	0.00354	0.01581	0.00121	0	0.28272	0	0.00214	0	0.00804	0	0	0	0	0	0.00605	0	0	0	0.00487
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.01153	0.15679	0.21514	0.07682	0.07897	0.05032	0.42236	0.38151	0.01081	0.82235	2.06112	0.525	0.06299	0.20767	0.10276	0.09242	0.05659	0.09731	0.02051	0.00752	0.175	0.00805	0.23955	0.03519	0.2058	0.5207	0.52721	0.00701	0.19718	0.02992	0.0936	0.09821	0.13184	0.18221	0.09248	0.37223	0.3674	0.0423	0.01134	0.22207	0.14126	0.02488	0.08557	0.04608
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	4.01921	12.51565	0.06191	1.26724	5.57922	10.09055	4.94393	4.94547	7.71463	0.03383	24.51339	10.34257	12.96016	8.07637	26.2345	7.27656	2.9674	13.97551	7.95706	19.8356	19.28841	2.72066	0.6642	2.21244	1.68472	7.05329	1.71915	17.65125	11.98754	1.7511	7.75318	17.58948	10.17991	4.43885	10.17012	4.51042	2.33182	15.4811	23.18238	2.49788	8.39709	13.12171	9.01777	0.68354
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	6.27733	19.7255	22.55217	10.11632	25.82589	14.6085	4.14248	4.10056	16.56481	13.24106	23.4636	25.7967	14.75348	24.82044	20.16464	25.0008	16.23109	17.43098	27.21663	34.89159	9.29959	7.07331	28.50864	4.94812	15.76672	18.21064	3.43616	10.30384	9.88292	19.25363	27.64457	25.39271	19.54459	38.54596	4.38099	24.62398	28.30332	9.88047	9.56508	20.96835	10.85902	29.24076	22.50546	31.22384
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.1142	2.11595	1.68248	3.71936	0.27923	0.12336	1.40222	1.441	0.03706	0.02525	0.35365	1.33869	0.82702	1.47406	1.52655	1.02138	0.2433	0.33603	0.2346	0.00518	0.73723	0.09854	2.45171	0.37343	0.87465	1.91551	0.8254	0.09195	1.02798	0.52318	0.66262	0.23451	1.87967	0.19307	2.2461	2.88314	2.74632	0.81274	0.39832	0.44072	0.74029	0.83741	1.27878	0.70279
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.0107	0.39635	0.03363	0.00197	0.03998	0.05333	0.12862	0.20819	0.00728	0.03533	0.3361	0.00563	0.01295	0.00768	0.00151	1.34707	0.03723	0.26428	0.16497	0.0061	0.01827	1.91328	0.66	0.4869	0.09648	1.00425	3.16936	0.88301	0.07233	0.61386	0	0	0.50496	9.87754	0.20423	0.04854	0.02418	0.69988	0.06948	0.00277	1.09076	0.11067	2.30545	0.03121
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	51.52728	30.63986	2.04079	18.93031	36.66371	33.80312	37.46364	36.08684	29.5026	39.22359	24.8892	28.19752	31.53896	14.37212	20.31183	25.45423	20.69449	19.54909	36.9946	18.36221	5.52133	42.80653	23.3539	10.68622	7.22635	12.66061	3.01008	29.36048	15.96539	27.44975	16.50329	17.68914	35.85452	15.3683	26.85896	12.62357	25.647	35.14319	20.05817	18.27463	34.58989	15.73237	17.8328	13.58318
