kegglevel2	Wargo.122637.R1	Wargo.120662.R1	Wargo.122410.R1	Wargo.124418.R1	Wargo.133270.R1	Wargo.122639.R1	Wargo.132266.R1	Wargo.109865.R1	Wargo.115690.R1	Wargo.117349.R1	Wargo.121892.R1	Wargo.126747.R1	Wargo.126802.R1	Wargo.130510.R1	Wargo.130511.R1	Wargo.130801.R1	Wargo.131541.R1	Wargo.132265.R1	Wargo.123009.R1	Wargo.127262.R1	Wargo.127261.R1	Wargo.131300.R1	Wargo.131512.R1	Wargo.121296.R1	Wargo.121585.R1	Wargo.122412.R1	Wargo.123986.R1	Wargo.124419.R1	Wargo.132538.R1	Wargo.132268.R1	Wargo.131302.R1	Wargo.116774.R1	Wargo.121891.R1	Wargo.122114.R1	Wargo.123197.R1	Wargo.124421.R1	Wargo.131051.R1	Wargo.121409.R1	Wargo.118370.R1	Wargo.123704.R1	Wargo.122724.R1	Wargo.123305.R1	Wargo.118369.R1
Genetic_Information_Processing;Translation	0.0533729640053	0.0527430764221	0.0546756924707	0.0546949060572	0.0494622313097	0.0498514162903	0.0534292348544	0.0637496186273	0.0589364184034	0.059022588529	0.0630574102635	0.0533864682632	0.0574343415763	0.0690440171779	0.0531588245175	0.0552309076975	0.056192186814	0.0514677455204	0.0484967842952	0.0510522639911	0.0593222240385	0.0510415282517	0.0518072720819	0.049808208039	0.0512854863745	0.0518371999517	0.0568197608747	0.0488636840899	0.0678097698731	0.052163468339	0.0496652341888	0.0528559761803	0.0517332125633	0.0470155050575	0.0502308562882	0.0494920777692	0.0525429771736	0.0528750662297	0.0560394300014	0.0545256454872	0.0488823572045	0.0533608552818	0.0625064840751
Human_Diseases;Cancers	0.000793292435204	0.00105179200322	0.000912488287943	0.00104412403144	0.00122136041164	0.00105279954929	0.00103973663533	0.00116865973075	0.00106348060133	0.00119276461551	0.00128678392318	0.00117475757412	0.00102310603723	0.00279287414911	0.000996795918019	0.00109034852269	0.00106902454461	0.00108518220293	0.00105319299659	0.00108066452882	0.00140477698965	0.000987013318587	0.000966522493728	0.000864461983824	0.000964609960494	0.00107452418186	0.00102740066637	0.00114381575111	0.00123836659791	0.00106061342878	0.000812304809954	0.000960782645683	0.00107503396656	0.000906695313165	0.00112024743372	0.000988047160494	0.00113757585953	0.00117716303708	0.00103561233161	0.000937191933385	0.00121922424257	0.00105340678808	0.00112556098108
Human_Diseases;Cardiovascular_Diseases	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.44972902618e-05	0.0	2.76098006273e-05	0.0	0.000294013948352	0.0	0.0	0.0	0.0	0.0	1.75041834999e-06	5.25300053171e-05	0.0	0.0	0.0	0.0	2.78116815419e-06	0.0	9.59979648431e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.74021428066e-06	1.90726350791e-07	0.0	0.0	0.0	0.0	0.0
Human_Diseases;Immune_System_Diseases	0.000572807685619	0.000448598322089	0.000378237136724	0.000412793221732	0.000413686591039	0.000375187744349	0.000425242583168	0.000564015223112	0.000358533346126	0.000449398566182	0.000386514154623	0.000389850384857	0.000543219477666	0.000315199487689	0.000597145551066	0.000402295501782	0.000418128876181	0.000486345626977	0.000485412298588	0.000465392478802	0.000538299003639	0.000454726300607	0.000559916479125	0.00045255978574	0.000490137822002	0.000485711152643	0.000454380767673	0.000576227783971	0.000595036875039	0.000467439112265	0.000470469074729	0.000510591237771	0.000566300582634	0.00058526310036	0.000484822316516	0.000506679262083	0.000482952291416	0.000581906096263	0.000380994033248	0.000433463852326	0.000527966066277	0.000586241884751	0.000547268349126
Human_Diseases;Infectious_Diseases	0.00340742299914	0.00348726842471	0.00346840636967	0.00360861171256	0.00398679259294	0.00445784568401	0.00314707731707	0.00405661955773	0.00357866777088	0.00344567058544	0.00355547206998	0.00403560622997	0.00383071017855	0.00379686202547	0.0036367961488	0.00359648529654	0.00345648044614	0.00365532856871	0.00438433489565	0.00461147714304	0.00356527378461	0.00380840529943	0.00361329435026	0.00389762454937	0.00365712680561	0.00371226352124	0.0037741451944	0.00389799736246	0.00447283757276	0.00369643010019	0.00319742222715	0.00337915780519	0.00366995673089	0.00376111427031	0.00379956770319	0.00384099943727	0.00391272524499	0.00347064740534	0.00345578874127	0.00325289152904	0.00348909037654	0.00378216357433	0.00397855403015
Human_Diseases;Metabolic_Diseases	0.00123633664117	0.00106426194945	0.00107924367364	0.00109582109526	0.000852206316547	0.000909011019819	0.000874825057036	0.0012272062774	0.00112528973029	0.00110220911495	0.0012642927978	0.000998054850103	0.00107456403319	0.00104429207315	0.00106225780489	0.000898779236124	0.00112668414901	0.00119119133142	0.00100541022345	0.00115812054081	0.00113714106425	0.00115199908397	0.0010505099656	0.0010572748231	0.00103825667952	0.00108942329697	0.00114163523085	0.00126765312575	0.00123175507707	0.00109519060995	0.000828015752183	0.0010169289664	0.00111271083747	0.0010763459317	0.00114102023382	0.00119279801306	0.00122381734014	0.00102992229427	0.00126342174803	0.000924407467698	0.00121569741514	0.00123626723487	0.00115261415571
Human_Diseases;Neurodegenerative_Diseases	0.00122747198486	0.000827332971065	0.000897168627378	0.00079405906742	0.00117002268173	0.00101869157253	0.000886818626366	0.000818137518267	0.000891788576421	0.00118347253989	0.000989817767739	0.00137354813863	0.000895741676203	0.00500202640545	0.00101543591292	0.000904822790998	0.000859863362217	0.000902227592608	0.00104591181211	0.00128196263907	0.00166066043928	0.000883534556007	0.00100951608052	0.000881151124608	0.000935619442734	0.00102724432324	0.000828768923652	0.00104013794908	0.000826440104221	0.000798418546978	0.000751424908815	0.000913313483624	0.000920883926167	0.000896394346241	0.00101063381893	0.000880247870569	0.00109577410657	0.000975756010646	0.000835207502617	0.000755088796167	0.000984337535725	0.00101705238974	0.000850809932337
Metabolism;Amino_Acid_Metabolism	0.0985691313052	0.0970846065068	0.0981222498348	0.0985892380421	0.0972586129787	0.0912473982636	0.0929898469144	0.0937733981148	0.0985382948962	0.0986465331604	0.0995713358104	0.0958407176402	0.101206003122	0.097228018582	0.099767909873	0.0975981658609	0.0993722649176	0.0986434804281	0.0950076255238	0.0930896546775	0.0997630273523	0.0999424967549	0.0965659289156	0.0970766484299	0.0980999506621	0.0995004624685	0.0975831717142	0.0990761395858	0.0885989784913	0.0989356699865	0.0900903477372	0.0982977456402	0.0974430983623	0.0960359146365	0.0969678017889	0.0985599642025	0.0984339967569	0.0962822856798	0.0995524338998	0.094839595725	0.0961520725666	0.102620847354	0.094063391793
Metabolism;Biosynthesis_of_Other_Secondary_Metabolites	0.0122319054447	0.0120120753843	0.0104168409205	0.0106987465224	0.00991271869574	0.00924352921522	0.00879287370331	0.0109111079202	0.0100847855617	0.0094211509942	0.0107424278837	0.00949871803751	0.0119664288966	0.00929321768211	0.0116637549071	0.00931596879382	0.0104176200011	0.0123857134822	0.0111135145762	0.00950958529088	0.00987653133869	0.0110184573231	0.0122383411141	0.00952435061044	0.011243999323	0.0112573740687	0.00881637930422	0.0135241932871	0.00989974634757	0.0116708156202	0.0098248622715	0.00968694172692	0.0123140254351	0.0119274685794	0.0119387959121	0.0133978471781	0.0119729554834	0.011434616909	0.00989572624757	0.00870984507543	0.0131275570601	0.0130695150519	0.0101062221805
Metabolism;Carbohydrate_Metabolism	0.120532543285	0.113376910999	0.110593686152	0.112892092366	0.10670009907	0.10624982528	0.111179858564	0.102475635678	0.110198809265	0.108300999726	0.104216169703	0.108720452977	0.112227793605	0.106307830709	0.117535375493	0.105580789614	0.111023955244	0.12169827042	0.112306202932	0.109565248594	0.11144605667	0.116920943966	0.118233363523	0.115727118345	0.116567630736	0.115502509408	0.114452661566	0.124847033243	0.0943981446348	0.115016462991	0.110875187856	0.111793619736	0.118745448175	0.124014391922	0.117054172124	0.124495750177	0.12032289622	0.112806053807	0.120885429571	0.106528019975	0.121854356487	0.119722870639	0.101402992528
