kegglevel3	SRR6000915	SRR6000939	SRR6000948	SRR6000918	SRR6000925	SRR6000937	SRR6000938	SRR6000930	SRR6000927	SRR6000872	SRR6000881	SRR6000883	SRR6000885	SRR6000887	SRR6000904	SRR6000913	SRR6000917	SRR6000919	SRR6000922	SRR6000935	SRR6000936	SRR6000941	SRR6000875	SRR6000876	SRR6000897	SRR6000889	SRR6000914	SRR6000916	SRR6000933	SRR6000929	SRR6000879	SRR6000882	SRR6000880	SRR6000884	SRR6000886	SRR6000888	SRR6000898	SRR6000924	SRR6000923	SRR6000926	SRR6000928	SRR6000934
Environmental_Information_Processing;Membrane_Transport;Bacterial_secretion_system	0.00566315263929	0.0055188317411	0.00558154869141	0.00550299751993	0.00681873722266	0.00586392992656	0.00584660909706	0.00585404335575	0.00579663630524	0.00646141492118	0.00574228226616	0.00569011935496	0.00590493418138	0.00518131438238	0.00551921388686	0.00656254883531	0.00514270661723	0.00497005750066	0.00564791876723	0.00513995382986	0.00533990230989	0.00573464112483	0.00542252693317	0.00531459014226	0.00550795456648	0.0057858911277	0.00653770703885	0.00623419849574	0.00630983289501	0.0066084598515	0.00516597910725	0.00555392960758	0.00490312964678	0.00710377242753	0.00612375426962	0.0060140443511	0.00632121913157	0.00555313204666	0.00546288697358	0.00588987348178	0.00902753956623	0.00674949654564
Environmental_Information_Processing;Membrane_Transport;Phosphotransferase_system_PTS	0.00244875280152	0.00399056467208	0.00514473495456	0.00378439550759	0.00556571678722	0.00338043718795	0.00348151574755	0.00340988558524	0.00238487360337	0.00322783955949	0.00451099475457	0.00287861616793	0.00243640681594	0.00352616872709	0.00390137488325	0.00182127533727	0.00330318211493	0.00580860442385	0.00320461049041	0.00269976536331	0.00158230113666	0.00376276250308	0.00321427279848	0.00202743929715	0.00306656551229	0.00537210695521	0.00326258772273	0.0034541460903	0.00458575201532	0.00422499489539	0.00356544901132	0.00269385783914	0.003039589816	0.00275149326872	0.00388630286926	0.00202280530434	0.00285099236865	0.00341562011559	0.00154149561421	0.00284707571161	0.00555872787877	0.00308182482552
Environmental_Information_Processing;Membrane_Transport;Secretion_system	0.00942806431765	0.0102624388628	0.0098079053189	0.00932502421204	0.0121922638836	0.0110522903494	0.010691934191	0.0103501992545	0.00959264467413	0.0107722414165	0.0114623930814	0.0095027890032	0.0128108993799	0.00877576737542	0.00961436254162	0.0101166517497	0.00896189305283	0.00930487888446	0.00946845717919	0.00947230880044	0.00759650156131	0.00959924488153	0.00922629539468	0.0084317589898	0.00933892308785	0.0108800630304	0.010903369346	0.0108942374476	0.0130883186954	0.0121429507204	0.00976144929657	0.00952853416292	0.0078184919726	0.0117935962179	0.0102768015139	0.00933299964505	0.0115124542726	0.0105552467618	0.00780170263948	0.0102976868446	0.017998893426	0.010754180319
Environmental_Information_Processing;Membrane_Transport;Transporters	0.0538588354405	0.0636283643789	0.0718760842298	0.0556377480331	0.0647240799716	0.0654953230992	0.063304065491	0.0692546890016	0.0577627910384	0.0620395163032	0.064477667173	0.0637287507809	0.062654234748	0.0632296919474	0.0633081775904	0.0526749184302	0.061871157357	0.0845809042518	0.0604893786085	0.061007669468	0.0443046745107	0.0606222203408	0.0588162596235	0.0555812697732	0.05626140449	0.0756382498959	0.0650401050938	0.0564493640745	0.0621599915633	0.0627200115193	0.0582930000097	0.0586888451293	0.0617866360668	0.0557798632081	0.0632241521911	0.0512721865906	0.0617092413409	0.0679579068581	0.0414044439178	0.059720565911	0.0645747015379	0.0529389089515
Environmental_Information_Processing;Signal_Transduction;Calcium_signaling_pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Environmental_Information_Processing;Signal_Transduction;ErbB_signaling_pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Environmental_Information_Processing;Signal_Transduction;Hedgehog_signaling_pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Environmental_Information_Processing;Signal_Transduction;MAPK_signaling_pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Environmental_Information_Processing;Signal_Transduction;MAPK_signaling_pathway_-_yeast	0.000679172021407	0.000473961586622	0.000547227057286	0.000716410976257	0.000494731645786	0.000503732423351	0.000578224525182	0.000457734365075	0.000584745949666	0.000543416648672	0.000468997209362	0.000499975122865	0.000508661095864	0.000652161743975	0.00059926208142	0.000560169147558	0.000670588909495	0.000492184199674	0.000556134596758	0.000496082920739	0.00086152899312	0.000579589084676	0.000591186146296	0.000602947159109	0.000659945789688	0.000537216365351	0.000476999542933	0.000576115774776	0.000570302815956	0.000501281694347	0.000568017865596	0.000676564671562	0.000651413519533	0.000524816057844	0.000451682275332	0.000693351915191	0.000525300020846	0.000401005440523	0.000761584964141	0.000498698941395	0.000366186001211	0.000624182093822
Environmental_Information_Processing;Signal_Transduction;Notch_signaling_pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
