# Constructed from biom file
#OTU ID	SRR6000872	SRR6000875	SRR6000876	SRR6000879	SRR6000880	SRR6000881	SRR6000882	SRR6000883	SRR6000884	SRR6000885	SRR6000886	SRR6000887	SRR6000888	SRR6000889	SRR6000897	SRR6000898	SRR6000904	SRR6000913	SRR6000914	SRR6000915	SRR6000916	SRR6000917	SRR6000918	SRR6000919	SRR6000922	SRR6000923	SRR6000924	SRR6000925	SRR6000926	SRR6000927	SRR6000928	SRR6000929	SRR6000930	SRR6000933	SRR6000934	SRR6000935	SRR6000936	SRR6000937	SRR6000938	SRR6000939	SRR6000941	SRR6000948	taxonomy
Aeromonas_allosaccharophila:Aeromonas_aquariorum:Aeromonas_bivalvium:Aeromonas_caviae:Aeromonas_hydrophila:Aeromonas_jandaei:Aeromonas_media:Aeromonas_molluscorum:Aeromonas_piscicola:Aeromonas_popoffii:Aeromonas_rivuli:Aeromonas_salmonicida:Aeromonas_sobria:Aeromonas_veronii	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas
Aggregatibacter_aphrophilus	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Aggregatibacter
Akkermansia_muciniphila	583.0	135.0	1.0	1.0	1.0	1.0	248.0	0.0	1666.0	282.0	543.0	1.0	241.0	146.0	5.0	626.0	4.0	68.0	979.0	142.0	1.0	91.0	4.0	0.0	121.0	1.0	8.0	1199.0	96.0	1.0	3698.0	3.0	0.0	2.0	1263.0	5.0	3.0	157.0	248.0	26.0	244.0	459.0	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia
Aliifodinibius_roseus	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteria; o__Sphingobacteriales; f__Chitinophagaceae; g__Gracilimonas
Aliifodinibius_roseus:Aliifodinibius_sediminis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteria; o__Sphingobacteriales; f__Chitinophagaceae; g__Gracilimonas
Alistipes_finegoldii	14.0	54.0	0.0	29.0	0.0	9.0	0.0	1.0	0.0	44.0	94.0	162.0	3.0	1.0	6.0	14.0	32.0	193.0	94.0	59.0	0.0	71.0	16.0	0.0	15.0	3.0	41.0	5.0	77.0	0.0	0.0	0.0	242.0	0.0	6.0	0.0	0.0	7.0	57.0	8.0	79.0	67.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
Alistipes_finegoldii:Alistipes_onderdonkii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
Alistipes_finegoldii:Alistipes_onderdonkii:Alistipes_senegalensis:Alistipes_shahii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
Alistipes_finegoldii:Alistipes_senegalensis	37.0	0.0	0.0	0.0	0.0	77.0	0.0	1.0	0.0	151.0	98.0	217.0	34.0	55.0	12.0	187.0	130.0	0.0	297.0	0.0	0.0	0.0	109.0	0.0	26.0	43.0	22.0	17.0	0.0	1.0	0.0	0.0	169.0	50.0	4.0	0.0	0.0	70.0	267.0	6.0	198.0	86.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
Alistipes_indistinctus	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	28.0	0.0	0.0	0.0	3.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes
