order	SRR6000869	SRR6000870	SRR6000871	SRR6000873	SRR6000874	SRR6000877	SRR6000878	SRR6000890	SRR6000891	SRR6000892	SRR6000893	SRR6000894	SRR6000895	SRR6000896	SRR6000899	SRR6000900	SRR6000901	SRR6000902	SRR6000903	SRR6000905	SRR6000906	SRR6000907	SRR6000908	SRR6000909	SRR6000910	SRR6000911	SRR6000912	SRR6000920	SRR6000921	SRR6000931	SRR6000932	SRR6000940	SRR6000942	SRR6000943	SRR6000944	SRR6000945	SRR6000946	SRR6000947	SRR6000949
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.36791	0.15498	0.05604	0.32685	0.47347	1.12668	0.00185	0	0.17816	0.00681	0.31868	0	0.30863	1.38908	0.08501	0	0.4617	0.96892	0	0.55285	0.10347	0.05429	0	0	0.58203	0.39011	0	0.00016	0	0.22184	0.12379	0	0.57227	0.25427	0.6076	1.42032	0.04727	2.638	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0	0	0	0	0	0	0	0	0	0	0	0	0.01028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.50003	0.15636	0	0.28683	0	0.27782	1.23006	0.7568	0.85418	0.1361	0.11663	1.13511	0.36461	0	0.45646	0	1.38635	0	0	0.58113	0.02258	7.92656	0	0.49133	0.59439	0.58956	0	2.56135	0.36668	0.15415	1.66579	0.87735	0.01805	0.23361	0.23191	0.88694	0.85833	0.10058	0.00401
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0	0.00654	0	0	0	0	0	0	0	0	0	0.00506	0.00604	0	0	0.26621	0	0.00045	0	0	0	0	0	0	0	0	0	0.00093	0	0.00801	0	0	0	0	0	0	0	0	0.00287
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	0	0.10205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07833	0	0	0.1368	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0	0	0	0	0	0	0	0	0	0	0	0.00338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.03314	7.35277	0	0.16508	7.73176	0.02145	1.41469	1.08332	0	0.20742	6.02658	15.74271	1.71322	0	0.10712	0.75791	8.76309	0	7.41891	0.2076	0.00217	0.38613	1.60788	0.05213	0.00982	0.02088	9.67024	8.33509	0.34994	9.82653	0	3.13639	0.02606	32.77669	0.01814	7.92699	0.40622	2.48479	0.14088
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.01897	0.1482	0	0.00449	0	0	0.01653	0.08603	0	0	0.6905	0.14333	0.06815	0.00141	0	0.26755	0	0	0.00095	0.00439	0	0	0.12778	0	0.28764	0.00479	0.00245	0.01343	0	0.19714	0	0	0	0	0.00775	0.00517	0.00029	0	0.00092
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0	0	0	0	0	0	0	0	0	0.0057	0	0	0	0	0	0	0	0	0	0	0	0	0.03166	0	0	0.00363	0	0	0	0	0	0	0	0.00119	0	0	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	0	0	0	0.16314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37152	3.3162	0.13136	0	0	0	6.2779	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.09222	0.04382	0.001	2.59555	0.0131	4.93504	0.68408	0	0.12218	36.54526	4.31172	2.04481	0.00642	0.00227	7.00009	0	21.98923	0	0.00066	13.31134	3.03458	1.03406	0	0.42567	0	2.68429	0.00365	2.67934	0.17681	0.00564	11.10643	0	1.26092	0.37382	0.02139	0	6.3706	0.17154	0.53132
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00227	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0.00187	0.00932	0	0	0	0	0	0.51536	0	0	0.00703	0.00321	0	0	0.00637	0.04903	0	11.22185	0.00101	0	0	0	0	0	0.29787	0.02463	0	0.00498	0	0.00258	0.01572	0	1.4314	0	0	2.46436	0	4.5237	0
