family	SRR6000869	SRR6000870	SRR6000871	SRR6000873	SRR6000874	SRR6000877	SRR6000878	SRR6000890	SRR6000891	SRR6000892	SRR6000893	SRR6000894	SRR6000895	SRR6000896	SRR6000899	SRR6000900	SRR6000901	SRR6000902	SRR6000903	SRR6000905	SRR6000906	SRR6000907	SRR6000908	SRR6000909	SRR6000910	SRR6000911	SRR6000912	SRR6000920	SRR6000921	SRR6000931	SRR6000932	SRR6000940	SRR6000942	SRR6000943	SRR6000944	SRR6000945	SRR6000946	SRR6000947	SRR6000949
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	5.86061	10.94197	0.16665	34.12095	7.82962	15.83191	26.13538	2.86548	10.5557	10.29302	12.20872	16.21044	2.55852	7.61937	8.04284	0.00395	0	14.40162	0.43927	12.56803	10.60644	4.18434	3.50837	4.96198	0.82413	4.58493	0.1169	5.23834	4.39115	6.01252	23.72411	18.73752	2.95089	3.54898	16.51137	0	25.85923	8.54777	7.65613
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname	0	0	0	0	0	0	0	0	0	0	0	0.00716	0	0	0	0	0.00223	0	0	0	0	0.00181	0	0	0	0	0	0.00222	0	0	0	0	0.00255	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	0	0	0	0	0	0	0	0	0	0.00061	0.00184	0.12282	0	0	0.00344	0	0	0	0.02209	0	0	0.00449	0	0.01094	0.00209	0	0.00078	0.00185	0	0	0	0	0	0	0	0	0.0053	0	0.00239
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0	0	0	0	0	0	0	0	0	0	0	0.00115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	0	0	0	0	0	0	0	0	0	0.00074	0	0	0	0	0	0.00444	0	0	0.00094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.00105	0	0	0.01626	0	0	0	0.0102	0	0.0006	0.00412	0.04998	0	0	0.00126	0.00245	0	0	0.01091	0	0	0.0181	0	0.00712	0.00274	0	0	0.02168	0	0	0	0	0	0	0	0.00131	0.00454	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0	0.18616	0	0	0	0	0	0	0	0	0	0.01829	0	0	0.00102	0.09962	0.028	0	0.49667	0	0.02867	0.00606	0	0	0	0.00402	0	0	0	0.21099	0	0	0	0.00378	0	0.02631	8.03244	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.00123	0.20477	0.00091	0.0182	0.01138	0	0.01717	0	0	0	0.03254	0	0	0	0.04292	0.01648	0.02778	0.23707	0.89777	0	0	0.31226	0	0.1274	0.0093	0	0	0	0	0.2805	0	0.01025	0.12992	0.05229	0	0.00896	1.19627	0.06324	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae	0	0	0	0.11628	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00026	0	0	0	0	0	0	0	0	0	0.0011	0	0	0	0.10471	0	0	0	0	1.4097	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.17933	0.2543	0.07118	2.54258	0.07968	0.03728	0.66447	0.61474	0.58422	0.23353	4.90268	6.10643	0.01003	0.02059	0.28214	0.16279	0.03876	0.22521	2.36382	0.05271	0.04245	11.36575	0.23446	0.6708	1.20387	0.02687	0.01554	2.3014	0.01997	0.27185	0.13919	2.49932	2.31051	0.08818	0.01556	0.15367	11.3262	0.19364	0.0375
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	1.08433	0.43427	0.29018	0.1659	0.10129	9.44556	0.1191	1.59664	1.17571	0.57682	0.00877	1.86653	0.46564	0.3385	0.1048	4.95465	0.68035	0.54173	3.99051	0.44694	0.00964	8.04622	1.38395	0.62309	0.21427	0.4279	1.4631	3.40132	0.00583	0.35735	0.73454	2.21633	0.52735	1.08385	0.19758	1.81686	0.26253	0.03681	0.11214
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis	0	0	0	0	0	0	0.00269	0	0	0	0	0.0206	0	0	0	0	0.00093	0	0.00826	0	0	0.00614	0	0.00399	0.0027	0	0	0.00204	0	0	0	0	0	0	0	0	0.00301	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	0	0	0	0	0	0	0.01442	0	0	0	0.0019	0	0	0	0	0	0	0	0.25231	0	0	0	0	0	0.00136	0	0	0.00283	0	0	0	0.00048	0	0	0	0	0	0	0.01554
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.01189	0.00962	0.01983	0.07209	0.01611	0.02907	0.04569	0.04188	0.42855	0.08915	0.00797	0.04775	0.00816	0.30209	0.12239	0.08571	0.0277	0.02214	0	0.11801	0.00463	0.13506	0.16685	0.03516	0.0279	0.01336	0.00259	0.56474	0.05388	0.00795	0.07597	0.19786	0.1433	0.03399	0.00719	0.03716	0.01542	0.00052	0.03667
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	4.84086	8.28536	0.02144	2.11861	17.49412	0.01642	0	2.64108	3.67305	4.10022	11.90797	6.1508	3.94157	0.00927	0.91859	0.00136	2.73861	2.91276	12.09514	10.2627	1.97132	0.57084	15.50759	15.82004	10.04739	0.93258	1.06417	2.16975	11.03032	10.96681	5.71699	10.81593	3.6033	1.63647	3.66347	0	2.38349	11.51824	4.36095
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2.4573	4.43981	0.44829	8.98541	10.48484	1.17317	5.19471	6.76596	2.42645	3.42706	3.02449	4.58516	5.20236	1.48252	12.37356	15.72644	2.58127	4.95065	7.53053	13.81849	5.08289	7.69818	5.1576	13.8895	5.4113	2.14307	10.36475	3.77239	3.10802	4.5007	4.22328	4.53582	5.10589	7.00302	1.61067	10.33352	2.10191	6.96399	7.24989
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.61471	0.48936	0.11195	0.88064	0.27882	0.57758	0.29584	0.34891	0.78626	0.30791	0.19821	0.18556	0.04767	0.62434	2.07196	0.30173	0.4574	0.83686	0.11276	1.43292	0.74968	0.02155	0.91441	0.28099	0.65528	0.2546	2.76355	1.47543	0.31852	0.16098	2.57599	0.75397	2.10348	0.48514	0.29732	0	1.12379	0.91917	1.34749
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.05314	0.36761	0	0.47443	0	3.49433	0.12804	0.01271	0.2227	0.01933	0.09048	0.00603	0.12393	0.00657	0.13649	0.17253	0.14821	0	0.27099	0.0526	0.03298	0.95503	0.03221	0.11084	0.0841	0	0.11222	0.03864	0	0.54884	0	0	0.01292	0.07877	0.0046	0.23044	0.02036	0.12169	0.11743
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	26.90916	10.53452	2.07733	6.61118	8.51071	0.68689	2.96385	10.18619	9.1573	16.32651	21.23915	6.37013	3.55124	2.68506	10.95283	6.27432	2.22252	8.02132	9.71076	7.95037	57.8254	15.10057	7.01519	14.63161	11.2736	6.16701	5.58422	5.82859	10.1451	11.43601	3.14592	19.79953	4.9364	2.44767	3.50735	0.03228	5.79879	19.70272	10.84677
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.72176	0.08188	0.06999	0.1682	0.03425	0.84306	0.56362	0.00472	0.05432	0.27072	0.04302	0.17669	0.58787	0.5029	0.64481	0.79797	0.1286	0.06706	3.13985	0.11417	0.0133	2.8922	0.18943	0.17467	0.03888	0.04721	0.47329	0.09358	0.05192	0.12788	0.2944	2.69011	0.22054	0.2378	0.02939	0.05499	0.0656	0.65141	0.09459
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	0	1.29588	0	0	0	0	7.87724	0	0	0	0	0	3.81193	5.70983	0	0	0	0	0.16922	0	0	0.0011	0	0	0	2.16001	0	0	0	1.66798	0.26078	0	0	0	0	0	0	1.42507	5.1919
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	2.2152	2.59952	0.02339	0.02632	0.00241	0	0.1162	0.21702	0	0.55798	0.28791	0.89491	0.15321	0.00143	0.28913	4.90737	0.44338	0.00165	1.53306	0.00255	0.00073	0.03416	0.50251	0	3.11707	6.95566	1.19014	0.02907	0.0039	3.33901	0	0.08285	0	1.3161	1.51707	1.38645	0.0143	0.01671	0.00313
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	0	0.11632	0	0	0	0	0	0	0	0	0.00723	0.07531	0.09097	0	0	0.00125	0	0	0	0	0	0	0	0	0	0	0.26522	0	0	0.15611	0	0.02029	0	0	0	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	0	0.01346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00466	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.14293	0	0	0	0.26313	1.10053	0	0	0.17783	0	0.05751	0	0.1258	0.65527	0	0	0.04701	0	0	0.24199	0.05738	0.01126	0	0	0.17622	0	0	0.00016	0	0.00334	0.01278	0	0.09147	0.25427	0.23045	0.60252	0	0.01157	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	0.06668	0.01277	0	0.01916	0	0.02384	0	0	0	0	0.1634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01236	0	0	0	0.03202	0.03068	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.1583	0.14221	0.05604	0.30769	0.21034	0.00231	0.00185	0	0.00034	0.00681	0.09777	0	0.18283	0.73381	0.08501	0	0.41469	0.96892	0	0.31086	0.0461	0.04303	0	0	0.40581	0.37775	0	0	0	0.18648	0.08033	0	0.4808	0	0.37715	0.8178	0.04727	2.62643	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.01028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.50003	0.15636	0	0.28683	0	0.27782	1.23006	0.7568	0.85418	0.1361	0.11663	1.13511	0.36461	0	0.45646	0	1.38635	0	0	0.58113	0.02258	7.92656	0	0.49133	0.59439	0.58956	0	2.56135	0.36668	0.15415	1.66579	0.87735	0.01805	0.23361	0.23191	0.88694	0.85833	0.10058	0.00401
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	0	0.00654	0	0	0	0	0	0	0	0	0	0.00506	0.00604	0	0	0.26621	0	0.00045	0	0	0	0	0	0	0	0	0	0.00093	0	0.00801	0	0	0	0	0	0	0	0	0.00287
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae	0	0.10205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07833	0	0	0.1368	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0.00338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.03314	7.35277	0	0.16508	7.73176	0.02145	1.41469	1.08332	0	0.20742	6.02658	15.74271	1.71322	0	0.10712	0.75791	8.76309	0	7.41891	0.2076	0.00217	0.38613	1.60788	0.05213	0.00982	0.02088	9.67024	8.33509	0.34994	9.82653	0	3.13639	0.02606	32.77669	0.01814	7.92699	0.40622	2.48479	0.14088
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.01897	0.1482	0	0.00449	0	0	0.01653	0.08603	0	0	0.6905	0.14333	0.06815	0.00141	0	0.26755	0	0	0.00095	0.00439	0	0	0.12778	0	0.28764	0.00479	0.00245	0.01343	0	0.19714	0	0	0	0	0.00775	0.00517	0.00029	0	0.00092
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	0	0	0	0	0	0	0	0	0	0.0057	0	0	0	0	0	0	0	0	0	0	0	0	0.03166	0	0	0.00363	0	0	0	0	0	0	0	0.00119	0	0	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae	0	0	0	0.16314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37152	3.3162	0.13136	0	0	0	6.2779	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.09222	0.04382	0.001	2.59555	0.0131	4.93504	0.68408	0	0.12218	36.54526	4.31172	2.04481	0.00642	0.00227	7.00009	0	21.98923	0	0.00066	13.31134	3.03458	1.03406	0	0.42567	0	2.68429	0.00365	2.67934	0.17681	0.00564	11.10643	0	1.26092	0.37382	0.02139	0	6.3706	0.17154	0.53132
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00227	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Podoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00375	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae	0.00187	0.00932	0	0	0	0	0	0.51536	0	0	0.00703	0.00321	0	0	0.00637	0.02677	0	11.22185	0.00101	0	0	0	0	0	0.29787	0.02089	0	0.00498	0	0.00258	0.01572	0	1.4314	0	0	2.46436	0	4.5237	0
