genus	SRR6000869	SRR6000870	SRR6000871	SRR6000873	SRR6000874	SRR6000877	SRR6000878	SRR6000890	SRR6000891	SRR6000892	SRR6000893	SRR6000894	SRR6000895	SRR6000896	SRR6000899	SRR6000900	SRR6000901	SRR6000902	SRR6000903	SRR6000905	SRR6000906	SRR6000907	SRR6000908	SRR6000909	SRR6000910	SRR6000911	SRR6000912	SRR6000920	SRR6000921	SRR6000931	SRR6000932	SRR6000940	SRR6000942	SRR6000943	SRR6000944	SRR6000945	SRR6000946	SRR6000947	SRR6000949
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	0.23321	1.32841	0.39817	6.06822	0.74588	0.69726	2.03929	1.38133	1.89425	1.84352	0.58589	0.61157	0.93458	0.20938	3.91404	14.36297	1.1874	2.80701	5.79044	5.19093	0.62415	4.53929	2.42675	5.98796	1.52585	1.08985	0.45405	2.43035	0.78844	1.18293	0.54676	3.00937	4.02585	4.27628	0.27123	3.83926	1.64846	3.05536	2.19977
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	0	0.13585	0	0.08217	0.31575	0.0669	0.4813	0	0.07492	0	0.70271	0.46248	1.49047	0	2.76543	0	0	0.9067	0.29508	1.68977	1.75804	0	0	1.36969	0	0.04948	0.10055	0	0.4846	0.18394	0.15981	0.08293	0	0	0.15798	0	0	1.26334	0.43965
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	0.30363	1.33816	0	0.34427	3.07511	0.00576	0	0.01837	0.00529	0.11545	0.25202	0.41355	1.12311	0	3.52562	0	0.94187	0.32934	1.15925	3.98852	0.21645	0.00895	0.43229	2.10653	1.49235	0.36709	0.17043	0.27069	0.35234	1.81157	0.21938	0.00336	0	0.14622	0.09359	0	0	0.89802	1.22336
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	0.41101	0.98631	0.05012	0.81949	0.28041	0.2624	0.8511	0.35441	0.23482	0.76151	0.87574	1.08187	0.54711	0.30603	1.53329	0.78419	0.39999	0.39193	0.21858	1.47681	2.08772	2.56344	1.87389	1.13811	0.26539	0.20467	1.41503	0.93591	0.52266	0.60297	0.63616	0.72915	0.6509	0.71285	0.49025	0.14647	0.24235	1.09396	0.36841
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Marvinbryantia	0	0	0	0	0	0	0	0	0	0.09493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011	0	0	0	0.10488	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium	0	0	0	0	0	0	0	0.00056	0	0	0	0.00156	0	0	0	0	0	0	0	0	0	0.00232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	1.47657	0.64578	0	1.64818	5.59585	0.00042	1.80956	5.01129	0.21716	0.32401	0.60308	2.01088	1.00066	0.95054	0.62283	0	0.02898	0.41485	0.04231	1.43301	0.36339	0.20502	0.41868	2.84469	2.12357	0.43199	8.22313	0.13231	0.90711	0.71052	2.35938	0.60613	0.40103	1.75574	0.56337	6.33991	0.2111	0.59403	2.942
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	0.61471	0.48936	0.11195	0.88064	0.27882	0.57758	0.29584	0.34891	0.78626	0.30791	0.19821	0.18556	0.04767	0.62434	2.07196	0.30173	0.4574	0.83686	0.11276	1.43292	0.74968	0.02155	0.91441	0.28099	0.65528	0.2546	2.76355	1.47543	0.31852	0.16098	2.57599	0.75397	2.10348	0.48514	0.29732	0	1.12379	0.91917	1.34749
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname	0.05314	0.36761	0	0.47443	0	3.49433	0.12804	0.01271	0.2227	0.01933	0.09048	0	0.12393	0.00657	0.13649	0.17253	0.14821	0	0.27099	0.05139	0.03298	0.95503	0.03221	0.11084	0.0841	0	0.11222	0.03864	0	0.54884	0	0	0.01292	0.07877	0.0046	0.23044	0.02036	0.12169	0.11743
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus	0	0	0	0	0	0	0	0	0	0	0	0.00603	0	0	0	0	0	0	0	0.00121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
